Rank,Male name,Percent of,Female name,Percent of
1,Liam,1.10%,Olivia,0.93%
2,Noah,1.00%,Emma,0.81%
3,Oliver,0.81%,Charlotte,0.72%
4,James,0.65%,Amelia,0.69%
5,Elijah,0.64%,Sophia,0.69%
6,William,0.61%,Isabella,0.65%
7,Henry,0.60%,Ava,0.62%
8,Lucas,0.59%,Mia,0.62%
9,Benjamin,0.58%,Evelyn,0.52%
10,Theodore,0.58%,Luna,0.50%
11,Mateo,0.55%,Harper,0.46%
12,Levi,0.53%,Camila,0.45%
13,Sebastian,0.50%,Sofia,0.41%
14,Daniel,0.49%,Scarlett,0.40%
15,Jack,0.48%,Elizabeth,0.39%
16,Michael,0.47%,Eleanor,0.39%
17,Alexander,0.47%,Emily,0.36%
18,Owen,0.46%,Chloe,0.36%
19,Asher,0.45%,Mila,0.36%
20,Samuel,0.45%,Violet,0.36%
21,Ethan,0.44%,Penelope,0.36%
22,Leo,0.44%,Gianna,0.36%
23,Jackson,0.43%,Aria,0.36%
24,Mason,0.43%,Abigail,0.35%
25,Ezra,0.43%,Ella,0.35%
26,John,0.43%,Avery,0.35%
27,Hudson,0.42%,Hazel,0.34%
28,Luca,0.42%,Nora,0.34%
29,Aiden,0.42%,Layla,0.34%
30,Joseph,0.42%,Lily,0.33%
31,David,0.42%,Aurora,0.33%
32,Jacob,0.41%,Nova,0.33%
33,Logan,0.41%,Ellie,0.32%
34,Luke,0.39%,Madison,0.31%
35,Julian,0.39%,Grace,0.29%
36,Gabriel,0.39%,Isla,0.29%
37,Grayson,0.38%,Willow,0.28%
38,Wyatt,0.38%,Zoe,0.28%
39,Matthew,0.38%,Riley,0.27%
40,Maverick,0.38%,Stella,0.27%
41,Dylan,0.36%,Eliana,0.27%
42,Isaac,0.36%,Ivy,0.27%
43,Elias,0.36%,Victoria,0.27%
44,Anthony,0.35%,Emilia,0.26%
45,Thomas,0.35%,Zoey,0.25%
46,Jayden,0.35%,Naomi,0.25%
47,Carter,0.34%,Hannah,0.25%
48,Santiago,0.32%,Lucy,0.25%
49,Ezekiel,0.32%,Elena,0.24%
50,Charles,0.32%,Lillian,0.24%
51,Josiah,0.31%,Maya,0.24%
52,Caleb,0.31%,Leah,0.23%
53,Cooper,0.30%,Paisley,0.23%
54,Lincoln,0.30%,Addison,0.22%
55,Miles,0.30%,Natalie,0.22%
56,Christopher,0.30%,Valentina,0.22%
57,Nathan,0.30%,Everly,0.22%
58,Isaiah,0.29%,Delilah,0.22%
59,Kai,0.29%,Leilani,0.21%
60,Joshua,0.28%,Madelyn,0.21%
61,Andrew,0.28%,Kinsley,0.21%
62,Angel,0.27%,Ruby,0.20%
63,Adrian,0.27%,Sophie,0.20%
64,Cameron,0.27%,Alice,0.20%
65,Nolan,0.26%,Genesis,0.19%
66,Waylon,0.26%,Claire,0.19%
67,Jaxon,0.26%,Audrey,0.19%
68,Roman,0.25%,Sadie,0.18%
69,Eli,0.25%,Aaliyah,0.18%
70,Wesley,0.25%,Josephine,0.18%
71,Aaron,0.24%,Autumn,0.18%
72,Ian,0.24%,Brooklyn,0.18%
73,Christian,0.24%,Quinn,0.17%
74,Ryan,0.23%,Kennedy,0.17%
75,Leonardo,0.23%,Cora,0.17%
76,Brooks,0.23%,Savannah,0.17%
77,Axel,0.23%,Caroline,0.17%
78,Walker,0.23%,Athena,0.17%
79,Jonathan,0.22%,Natalia,0.17%
80,Easton,0.22%,Hailey,0.17%
81,Everett,0.22%,Aubrey,0.17%
82,Weston,0.22%,Emery,0.17%
83,Bennett,0.22%,Anna,0.17%
84,Robert,0.22%,Iris,0.16%
85,Jameson,0.22%,Bella,0.16%
86,Landon,0.22%,Eloise,0.16%
87,Silas,0.21%,Skylar,0.16%
88,Jose,0.21%,Jade,0.16%
89,Beau,0.21%,Gabriella,0.16%
90,Micah,0.21%,Ariana,0.16%
91,Colton,0.21%,Maria,0.16%
92,Jordan,0.21%,Adeline,0.16%
93,Jeremiah,0.21%,Lydia,0.16%
94,Parker,0.21%,Sarah,0.16%
95,Greyson,0.20%,Nevaeh,0.16%
96,Rowan,0.20%,Serenity,0.16%
97,Adam,0.19%,Liliana,0.16%
98,Nicholas,0.19%,Ayla,0.15%
99,Theo,0.19%,Everleigh,0.15%
100,Xavier,0.19%,Raelynn,0.15%
101,Hunter,0.19%,Allison,0.15%
102,Dominic,0.19%,Madeline,0.15%
103,Jace,0.19%,Vivian,0.15%
104,Gael,0.19%,Maeve,0.15%
105,River,0.19%,Lyla,0.15%
106,Thiago,0.19%,Samantha,0.14%
107,Kayden,0.19%,Rylee,0.14%
108,Damian,0.18%,Eva,0.14%
109,August,0.18%,Melody,0.14%
110,Carson,0.18%,Clara,0.14%
111,Austin,0.18%,Hadley,0.14%
112,Myles,0.18%,Julia,0.14%
113,Amir,0.18%,Piper,0.14%
114,Declan,0.18%,Juniper,0.14%
115,Emmett,0.18%,Parker,0.13%
116,Ryder,0.18%,Brielle,0.13%
117,Luka,0.18%,Eden,0.13%
118,Connor,0.17%,Remi,0.13%
119,Jaxson,0.17%,Josie,0.13%
120,Milo,0.17%,Rose,0.13%
121,Enzo,0.17%,Arya,0.13%
122,Giovanni,0.16%,Eliza,0.13%
123,Vincent,0.16%,Charlie,0.13%
124,Diego,0.16%,Peyton,0.13%
125,Luis,0.16%,Daisy,0.13%
126,Archer,0.16%,Lucia,0.12%
127,Harrison,0.16%,Millie,0.12%
128,Kingston,0.16%,Margaret,0.12%
129,Atlas,0.16%,Freya,0.12%
130,Jasper,0.16%,Melanie,0.12%
131,Sawyer,0.16%,Elliana,0.12%
132,Legend,0.15%,Adalynn,0.12%
133,Lorenzo,0.15%,Alina,0.12%
134,Evan,0.15%,Emersyn,0.12%
135,Jonah,0.15%,Sienna,0.12%
136,Chase,0.14%,Mary,0.12%
137,Bryson,0.14%,Isabelle,0.12%
138,Adriel,0.14%,Alaia,0.12%
139,Nathaniel,0.14%,Esther,0.12%
140,Arthur,0.14%,Sloane,0.11%
141,Juan,0.14%,Mackenzie,0.11%
142,George,0.14%,Amara,0.11%
143,Cole,0.14%,Ximena,0.11%
144,Zion,0.14%,Sage,0.11%
145,Jason,0.14%,Cecilia,0.11%
146,Ashton,0.14%,Valeria,0.11%
147,Carlos,0.14%,Reagan,0.11%
148,Calvin,0.14%,Valerie,0.11%
149,Brayden,0.14%,Catalina,0.11%
150,Elliot,0.14%,River,0.11%
151,Rhett,0.13%,Magnolia,0.10%
152,Emiliano,0.13%,Kehlani,0.10%
153,Ace,0.13%,Summer,0.10%
154,Jayce,0.13%,Ashley,0.10%
155,Graham,0.13%,Andrea,0.10%
156,Max,0.13%,Isabel,0.10%
157,Braxton,0.13%,Oakley,0.10%
158,Leon,0.13%,Olive,0.10%
159,Ivan,0.13%,Oaklynn,0.10%
160,Hayden,0.12%,Ember,0.10%
161,Jude,0.12%,Kaylee,0.10%
162,Malachi,0.12%,Georgia,0.10%
163,Dean,0.12%,Juliette,0.10%
164,Tyler,0.12%,Anastasia,0.10%
165,Jesus,0.12%,Genevieve,0.10%
166,Zachary,0.12%,Katherine,0.10%
167,Kaiden,0.12%,Blakely,0.10%
168,Elliott,0.12%,Reese,0.10%
169,Arlo,0.12%,Amaya,0.10%
170,Emmanuel,0.12%,Emerson,0.10%
171,Ayden,0.12%,Brianna,0.10%
172,Bentley,0.12%,June,0.10%
173,Maxwell,0.12%,Alani,0.09%
174,Amari,0.12%,Lainey,0.09%
175,Ryker,0.12%,Arianna,0.09%
176,Finn,0.11%,Rosalie,0.09%
177,Antonio,0.11%,Sara,0.09%
178,Charlie,0.11%,Jasmine,0.09%
179,Maddox,0.11%,Ruth,0.09%
180,Justin,0.11%,Adalyn,0.09%
181,Judah,0.11%,Ada,0.09%
182,Kevin,0.11%,Bailey,0.09%
183,Dawson,0.11%,Ariella,0.09%
184,Matteo,0.11%,Wren,0.09%
185,Miguel,0.11%,Myla,0.09%
186,Zayden,0.11%,Khloe,0.09%
187,Camden,0.11%,Callie,0.09%
188,Messiah,0.11%,Elsie,0.09%
189,Alan,0.11%,Alexandra,0.09%
190,Alex,0.11%,Ryleigh,0.09%
191,Nicolas,0.11%,Faith,0.09%
192,Felix,0.11%,Norah,0.09%
193,Alejandro,0.10%,Margot,0.09%
194,Jesse,0.10%,Zuri,0.08%
195,Beckett,0.10%,Journee,0.08%
196,Matias,0.10%,Aspen,0.08%
197,Tucker,0.10%,Gemma,0.08%
198,Emilio,0.10%,Kylie,0.08%
199,Xander,0.10%,Molly,0.08%
200,Knox,0.10%,Blake,0.08%
201,Oscar,0.10%,Zara,0.08%
202,Beckham,0.10%,Alaina,0.08%
203,Timothy,0.10%,Alana,0.08%
204,Abraham,0.10%,Brynlee,0.08%
205,Andres,0.10%,Amy,0.08%
206,Gavin,0.10%,Annie,0.08%
207,Brody,0.10%,Saylor,0.08%
208,Barrett,0.10%,Ana,0.08%
209,Hayes,0.10%,Amira,0.08%
210,Jett,0.09%,Kimberly,0.08%
211,Brandon,0.09%,Noelle,0.08%
212,Joel,0.09%,Kamila,0.08%
213,Victor,0.09%,Morgan,0.08%
214,Peter,0.09%,Phoebe,0.08%
215,Abel,0.09%,Harmony,0.08%
216,Edward,0.09%,Sutton,0.08%
217,Karter,0.09%,Taylor,0.08%
218,Patrick,0.09%,Finley,0.08%
219,Richard,0.09%,Lilah,0.08%
220,Grant,0.09%,Juliana,0.08%
221,Avery,0.09%,Lila,0.08%
222,King,0.09%,Londyn,0.08%
223,Caden,0.09%,Kailani,0.08%
224,Adonis,0.09%,Vera,0.07%
225,Riley,0.09%,Kaia,0.07%
226,Tristan,0.09%,Angela,0.07%
227,Kyrie,0.09%,Hallie,0.07%
228,Blake,0.08%,Diana,0.07%
229,Eric,0.08%,Lennon,0.07%
